Name	Index	Desc	Assay	CellLine or Tissue	Group	Lifestage	Type
ATAC_BM1077_UNK___Bone_Marrow_CD34+___UNK	678	Bone Marrow CD34+ UNK	ATAC	Bone Marrow	Bone	Adult	Tissue
ATAC_BM0828_MEGA1_A_151109___Bone_Marrow_CD34+___Mega	676	Bone Marrow CD34+ Mega	ATAC	Bone Marrow	Bone	Adult	Tissue
ATAC_BM1137_GMP1_low_ATAC_2___Bone_Marrow_CD34+___GMP_A	679	Bone Marrow CD34+ GMP_A	ATAC	GMP_A	Bone	Adult	Tissue
ATAC_BM1137_GMP2_mid_ATAC_1___Bone_Marrow_CD34+___GMP_B	680	Bone Marrow CD34+ GMP_B	ATAC	GMP_B	Bone	Adult	Tissue
ATAC_BM1137_GMP3_high_ATAC_2___Bone_Marrow_CD34+___GMP_C	681	Bone Marrow CD34+ GMP_C	ATAC	GMP_C	Bone	Adult	Tissue
ATAC_BM0106_UNK_ATAC_2___Bone_Marrow_CD34+___UNK	675	Bone Marrow CD34+ UNK	ATAC	Bone Marrow	Bone	Adult	Tissue
ATAC_BM1214_Day0_UNK_A___Bone_Marrow_CD34+___UNK	683	Bone Marrow CD34+ UNK	ATAC	Bone Marrow	Bone	Adult	Tissue
ATAC_BM0106_Day0_MCP_A___Bone_Marrow_CD34+___pDC	674	Bone Marrow CD34+ pDC	ATAC	CD34+ pDC	HSC & B Cell	Adult	Tissue
ATAC_BM1077_MCP___Bone_Marrow_CD34+___pDC	677	Bone Marrow CD34+ pDC	ATAC	CD34+ pDC	HSC & B Cell	Adult	Tissue
ATAC_BM1214_Day0_MCP___Bone_Marrow_CD34+___pDC	682	Bone Marrow CD34+ pDC	ATAC	CD34+ pDC	HSC & B Cell	Adult	Tissue
CAGE_Adipocyte___breast_	4793	Adipocyte Breast CAGE Track	CAGE	Adipocyte Breast	Adipose	Adult	Tissue
CAGE_Adipocyte___omental_	4795	Adipocyte Omental CAGE Track	CAGE	Adipocyte Omental	Adipose	Adult	Tissue
CAGE_Adipocyte___perirenal_	5077	Adipocyte Perirenal CAGE Track	CAGE	Adipocyte Perirenal	Adipose	Adult	Tissue
CAGE_Adipocyte___subcutaneous_	4902	Adipocyte Subcutaneous CAGE Track	CAGE	Adipocyte Subcutaneous	Adipose	Adult	Tissue
CAGE_adipose_	5278	Adipose CAGE Track	CAGE	Adipose	Adipose	Adult	Tissue
CAGE_adipose_tissue__adult__pool1	4678	Adipose Tissue Adult Pool 1 CAGE Track	CAGE	Adipose Tissue Adult Pool 1	Adipose	Adult	Tissue
CAGE_mature_adipocyte_	5143	Mature Adipocyte	CAGE	Mature Adipocyte	Adipose	Adult	Tissue
CAGE_Preadipocyte___breast_	4794	Preadipocyte (Breast)	CAGE	Preadipocyte (Breast)	Adipose	Adult	Tissue
CAGE_Preadipocyte___omental_	4800	Preadipocyte (Omental)	CAGE	Preadipocyte (Omental)	Adipose	Adult	Tissue
CAGE_Preadipocyte___perirenal_	5076	Preadipocyte (Perirenal)	CAGE	Preadipocyte (Perirenal)	Adipose	Adult	Tissue
CAGE_Preadipocyte___subcutaneous_	4810	Preadipocyte (Subcutaneous)	CAGE	Preadipocyte (Subcutaneous)	Adipose	Adult	Tissue
CAGE_Preadipocyte___visceral_	4811	Preadipocyte (Visceral)	CAGE	Preadipocyte (Visceral)	Adipose	Adult	Tissue
CAGE_blood__adult__pool1	4950	Blood Adult Pool 1 CAGE Track	CAGE	Blood Pool 1	Blood & T Cell	Adult	Tissue
CAGE_CD4+_T_Cells_	4759	CD4+ T Cells CAGE Track	CAGE	CD4+ T Cells	Blood & T Cell	Adult	Tissue
