Name	Biosample	Index	Desc	CellLine.or.Tissue	Group	Lifestage	Type
A172	A172	631	A172 DNASE	A172	Cancer	Cell Line	Cell Line
A549	A549	47	A549 DNASE	A549	Cancer	Cell Line	Cell Line
A673	A673	340	A673 DNASE	A673	Cancer	Cell Line	Cell Line
ACHN	ACHN	290	ACHN DNASE	ACHN	Cancer	Cell Line	Cell Line
adrenal_gland_female_embryo__85_days_	adrenal_gland_female_embryo_85_days	608	Adrenal Gland Female Embryo (85 days) DNASE	Adrenal Gland	Endocrine	Developing	Tissue
adrenal_gland_male_adult__37_years_	adrenal_gland_male_adult_37_years	265	Adrenal Gland Male Adult (37 years) DNASE	Adrenal Gland	Endocrine	Adult	Tissue
amniotic_epithelial_cell	amniotic_epithelial_cell	79	Amniotic Epithelial Cell DNASE	Amniotic Epithelial Cell	Placenta & EEM	Developing	Tissue
astrocyte_of_the_spinal_cord	astrocyte_of_the_spinal_cord	77	Astrocyte of the Spinal Cord DNASE	Astrocyte	Brain	Adult	Tissue
B_cell_female_adult__34_years_	B_cell_female_adult_34_years	617	B Cell Female Adult (34 years) DNASE	B Cell	HSC & B Cell	Adult	Tissue
bipolar_neuron_originated_from_GM23338_treated_with_0_5_ug_mL_doxycycline_hyclate_for_4_days	bipolar_neuron_from_GM23338_doxycycline_4_days	485	Bipolar Neuron from GM23338 treated with Doxycycline (4 days) DNASE	Bipolar Neuron	ES-deriv	Cell Line	Tissue
body_of_pancreas_female_adult__51_year_	body_of_pancreas_female_adult_51_year	431	Body of Pancreas Female Adult (51 year) DNASE	Body of Pancreas	Pancreas	Adult	Tissue
brain_female_embryo__142_days_	brain_female_embryo_142_days	261	Brain Female Embryo (142 days) DNASE	Brain	Brain	Developing	Tissue
brain_male_embryo__105_days_	brain_male_embryo_105_days	370	Brain Male Embryo (105 days) DNASE	Brain	Brain	Developing	Tissue
brain_pericyte	brain_pericyte	81	Brain Pericyte DNASE	Brain Pericyte	Stromal	Adult	Tissue
