ReadLength	Count
0	3
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	56242
31	53510
32	40721
33	39094
34	29842
35	17419073
36	23088219
37	27623543
38	33557749
39	40714748
40	44638984
41	47285623
42	49937592
43	48434417
44	47495814
45	47103203
46	46136132
47	44915654
48	44671411
49	43114131
50	42909379
51	43320899
52	39509201
53	38280293
54	36656243
55	36302598
56	35883081
57	33142770
58	31377067
59	31835506
60	35190413
61	29209367
62	27344025
63	26524322
64	25639487
65	24632411
66	23844173
67	23093081
68	23782885
69	22528469
70	21184783
71	20315327
72	19840844
73	19581961
74	18826831
75	19056594
76	17729916
77	18036385
78	17023052
79	17557795
80	16180516
81	16619787
82	16139297
83	15822662
84	15288294
85	14756002
86	14235825
87	13747799
88	13249678
89	12827396
90	12311489
91	11902790
92	11527553
93	11168805
94	10800196
95	105256611
96	10075582
97	9748436
98	9422877
99	9117375
100	8835510
101	38203612
102	8276536
103	8005104
104	7713173
105	7466249
106	7244250
107	7033387
108	6818377
109	6618728
110	6419826
111	6236852
112	6044592
113	5867996
114	5688216
115	5514183
116	5333055
117	5104816
118	4942567
119	4785576
120	4638303
121	4496580
122	4365658
123	4242172
124	4116615
125	3998561
126	3881104
127	3766693
128	3652606
129	3544213
130	3444954
131	3349406
132	3255296
133	3167767
134	3081916
135	2992405
136	2908372
137	2824307
138	2744265
139	2667730
140	2593000
141	2518183
142	2446185
143	2383785
144	2324147
145	2262902
146	2175854
147	2117559
148	2060255
149	2005522
150	1948706
151	1893629
152	1843778
153	1791933
154	1747205
155	1699791
156	1651971
157	1608436
158	1569890
159	1525423
160	1487389
161	1443242
162	1402946
163	1370197
164	1333603
165	1302207
166	1270537
167	1237841
168	1208630
169	1178760
170	1149482
171	1109434
172	1082464
173	1054740
174	1026016
175	1002599
176	965886
177	939882
178	918567
179	896577
180	147191
181	144454
182	141590
183	137171
184	134275
185	131371
186	129159
187	126912
188	124622
189	122185
190	119450
191	117646
192	0
193	0
194	0
195	0
196	0
197	0
198	0
199	0
200	0
201	0
202	0
203	0
204	0
205	0
206	0
207	0
208	0
209	0
210	0
211	0
212	0
213	0
214	0
215	0
216	0
217	0
218	0
219	0
220	0
221	0
222	0
223	0
224	0
225	0
226	0
227	0
228	0
229	0
230	0
231	1
232	0
233	0
234	0
235	0
236	0
237	0
238	0
239	0
240	0
241	0
242	0
243	0
244	0
245	0
246	0
247	0
248	0
249	0
250	0
251	0
252	0
253	0
254	0
255	0
256	0
257	0
258	0
259	0
260	0
261	0
262	0
263	0
264	0
265	0
266	0
267	0
268	0
269	0
270	0
271	0
272	0
273	0
274	0
275	0
276	0
277	0
278	0
279	0
280	0
281	0
282	0
283	0
284	0
285	0
286	0
287	0
288	0
289	0
290	0
291	0
292	0
293	0
294	0
295	0
296	0
297	0
298	0
299	0
300	0
301	0
302	0
303	0
304	0
305	0
306	0
307	0
308	0
309	0
310	0
311	0
312	0
313	0
314	0
315	0
316	0
317	0
318	0
319	0
320	0
321	0
322	0
323	0
324	0
325	0
326	0
327	0
328	0
329	0
330	0
331	0
332	0
333	0
334	0
335	0
336	0
337	0
338	0
339	0
340	0
341	0
342	0
343	0
344	0
345	0
346	0
347	0
348	0
349	0
350	0
351	0
352	0
353	0
354	0
355	0
356	0
357	0
358	0
359	0
360	0
361	0
362	0
363	0
364	0
365	0
366	0
367	0
368	0
369	0
370	0
371	0
372	0
373	0
374	0
375	0
376	0
377	0
378	0
379	0
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	1
505	0
506	0
507	0
508	0
509	0
510	0
511	0
512	0
513	0
